abrir,otwierać
acabar,kończyć,skończył,skończyli,kończy,
acostarse,położyć się,położył,położyli,kładzie,
alquilar,wynajmować,wynajmował,wynajmowali,wynajmuje,
andar,chodzić
cenar,jeść kolację
cerrar,zamykać,zamykał,zamykali,zamyka,
comer,jeść,jadł,jedli,je,
comprar,kupować,kupił,kupili,kupuje,
conocer,znać,znał,znali,zna,
conseguir,zyskać,zyskał,zyskali,zyskuje,
dar,dać,dał,dali,daje,
decir,mówić,mówił,mówili,mówi,
desayunar,jeść śniadanie,,,,
descubrir,odkryć,odkrył,odkryli,odkrywa,
despertarse,budzić się,budził,budzili,budzi,
dormir,spać,spał,spali,śpi,
empezar,zaczynać,zaczynał,zaczynali,zaczyna,
escribir,pisać,pisał,pisali,pisze,
esperar,czekać,czekał,czekali,czeka,
estar,być,był,byli,jest,
haber,egzystować
hacer,robić
ir,iść,szedł,szli,idzie,
lavarse,myć się,mył,myli,myje,
levantarse,wstać; obudzić się,wstał,wstali,wstaje,
limpiar,czyścić,czyścił,czyścili,czyści,
llamarse,nazywać się,nazywał,nazywali,nazywa,
morir,umrzeć
nacer,urodzić się,rodził,rodzili,rodzi,
oir,słyszeć
pensar,myśleć,myśllał,myśleli,myśli,
poder,móc,mógł,mogli,może,
poner,kłaść
preferir,preferować,preferował,preferowali,preferuje,
preparar,przygotowywać,przygotował,przygotowali,przygotowuje,
preparar,przygotować,przygotował,przygotowali,przygotowuje,
querer,chcieć,chciał,chcieli,chce,
repetir,powtarzać,powtarzał,powtarzali,powtarza,
saber,wiedzieć,wiedział,wiedzieli,wie,
sacarse,dostać
salir,wychodzić,wyszedł,wyszli,wychodzi,
sentir,czuć,czuł,czuli,czuje,
ser,być,był,byli,jest,
tener,mieć,miał,mieli,ma,
venir,przychodzić
ver,oglądać,oglądał,oglądali,ogląda,
vestir,nosić,nosił,nosili,nosi,
vestirse,ubierać się,ubierał,ubierali,ubiera,
volver,wracać,wracał,wracali,wraca,
