#separator:,
#html:true
abrir,to open,otwierać,verbos
acabar,to finish,kończyć,verbos
acercarse,to approach,podejść,verbos
acostarse,to go to bed,położyć się,verbos
alquilar,to rent,wynajmować,verbos
andar,to walk,chodzić,verbos
beber,to drink,pić,verbos
caerse,to fall,upaść,verbos
causar,to cause,powodować,verbos
cenar,to have dinner,jeść kolację,verbos
cerrar,to close,zamykać,verbos
comer,to eat,jeść,verbos
componer,to make up,skomponować,verbos
comprar,to buy,kupować,verbos
conducir,to lead,prowadzić,verbos
confundirse,to make a mistake,pomylić się,verbos
conocer,to know,znać,verbos
conseguir,to get,zyskać,verbos
construir,to build,budować,verbos
contar,to count,liczyć,verbos
dar,to give,dać,verbos
deber,to owe,musieć,verbos
decir,to say,mówić,verbos
dejar,to leave,pozostawić,verbos
desayunar,to have breakfast,jeść śniadanie,verbos
descubrir,to discover,odkryć,verbos
despertarse,to wake up,budzić się,verbos
doler,to hurt,boleć,verbos
dormir,to sleep,spać,verbos
empezar,to start,zaczynać,verbos
entender,to understand,rozumieć,verbos
equivocarse,to make a mistake,pomylić się,verbos
escribir,to write,pisać,verbos
esperar,to wait for,czekać,verbos
estar,to be,być,verbos
fregar,to wash,szorować,verbos
freír,to fry,smażyć,verbos
haber,to have,egzystować,verbos
hacer,to do,robić,verbos
hervir,to boil,gotować,verbos
huir,to escape,uciekać,verbos
influir,to influence,wpływać,verbos
ir,to go,iść,verbos
lavarse,to wash,myć się,verbos
levantarse,to get up,wstać; obudzić się,verbos
limpiar,to clean,czyścić,verbos
llamarse,to be called,nazywać się,verbos
llevar,to take,nosić,verbos
llevarse,to take,dogadywać się,verbos
llover,to rain,padać,verbos
medir,to measure,mierzyć,verbos
morir,to die,umrzeć,verbos
mostrar,to show,pokazywać,verbos
mover,to move,przenosić,verbos
nacer,to be born,urodzić się,verbos
obtener,to get,uzyskać,verbos
oír,to hear,słyszeć,verbos
oler,to smell,wąchać,verbos
parecer,to seem,przypominać,verbos
pedir,to ask for,poprosić,verbos
pensar,to think,myśleć,verbos
poder,to be able to,móc,verbos
poner,to put,kłaść,verbos
preferir,to prefer,preferować,verbos
preparar,to prepare,przygotować,verbos
prohibir,to prohibit,zabronić,verbos
querer,to want,chcieć,verbos
repetir,to do again,powtarzać,verbos
romperse,to break,złamać,verbos
romper,to break,łamać,verbos
saber,to know,wiedzieć,verbos
sacarse,to take off,dostać,verbos
salir,to go out,wychodzić,verbos
seguir,to follow,kontynuować,verbos
sentir,to feel,czuć,verbos
ser,to be,być,verbos
soler,to use to,mieć w zwyczaju,verbos
suponer,to suppose,przypuszczać,verbos
tener,to have,mieć,verbos
traducir,to translate,tłumaczyć,verbos
traer,to bring,przynieść,verbos
tratar,to treat,próbować,verbos
vencer,to defeat,pokonać,verbos
venir,to come,przychodzić,verbos
ver,to see,oglądać,verbos
vestir,to wear,nosić,verbos
vestirse,to get dressed,ubierać się,verbos
volar,to fly,latać,verbos
volver,to return,wracać,verbos
jugar,to play,grać,verbos
utilizar,to use,używać,verbos
marcar,to mark,zaznaczać,verbos
rechazar,to reject,odrzucać,verbos
aparcar,to park,parkować,verbos
tocar,to touch,dotykać,verbos
alcanzar,to reach,sięgać,verbos
producir,to produce,produkować,verbos
sustituir,to substitute,zastępować,verbos
aprobarse,to pass,aprobować,verbos
luchar,to fight,walczyć,verbos
